# luci-app-videoplayer release codec manifest v1
# source_commit=80a4045b8fedc431467de9ad60416314b789fa79
# format|release|revision|architecture|asset|sha256|local_package_name
ipk|24.10.8|r29233-443ec4032a|arm_cortex-a9_neon|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a9_neon.ipk|4f1a6487901a0a639b8eaf3e305ddb515e1bc3167b34fdd2961383dd955eea26|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a9_neon.ipk
apk|25.12.5|r33051-f5dae5ece4|arm_cortex-a9_vfpv3-d16|luci-videoplayer-codec-runtime-6.1.4-r5_arm_cortex-a9_vfpv3-d16.apk|349477abc179bbbc7eff27a5d6d8307b86bb8d2a022ffc024d96a659feb6b27d|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|arm_cortex-a9_vfpv3-d16|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a9_vfpv3-d16.ipk|b8da724c29da45d5c379dc10993e6bbd07ec403a4fc15ba07300be7a645cff46|luci-videoplayer-codec-runtime_6.1.4-r5_arm_cortex-a9_vfpv3-d16.ipk
apk|25.12.5|r33051-f5dae5ece4|arm_fa526|luci-videoplayer-codec-runtime-6.1.4-r5_arm_fa526.apk|0ee4605da178233b5923c136db73340e98dbebe745e94536f5ef02065615bbae|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|arm_fa526|luci-videoplayer-codec-runtime_6.1.4-r5_arm_fa526.ipk|71eb94d36f4b614b4a895fc11a0b3f6143ffbfe3d435aa88a57c81c72dc5e76a|luci-videoplayer-codec-runtime_6.1.4-r5_arm_fa526.ipk
apk|25.12.5|r33051-f5dae5ece4|arm_xscale|luci-videoplayer-codec-runtime-6.1.4-r5_arm_xscale.apk|52a38b7df1532f75daf5580a54aa84fc95ad4da1f1d9ac44f4e9f5068e2b86bd|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|arm_xscale|luci-videoplayer-codec-runtime_6.1.4-r5_arm_xscale.ipk|1f4ee763c27aa5299560678ab02f9dd0d98583a504809ac469a12422a4587721|luci-videoplayer-codec-runtime_6.1.4-r5_arm_xscale.ipk
apk|25.12.5|r33051-f5dae5ece4|armeb_xscale|luci-videoplayer-codec-runtime-6.1.4-r5_armeb_xscale.apk|fb11eff9fc711000190211edc843c385fda46ee0d8b3d0a7e394b0c8f743f622|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|armeb_xscale|luci-videoplayer-codec-runtime_6.1.4-r5_armeb_xscale.ipk|bd8d5cf93fc2d1814d50943e2b05f2de43c6150ec2ee5ec6890105d1bd9d1f16|luci-videoplayer-codec-runtime_6.1.4-r5_armeb_xscale.ipk
apk|25.12.5|r33051-f5dae5ece4|i386_pentium-mmx|luci-videoplayer-codec-runtime-6.1.4-r5_i386_pentium-mmx.apk|3ad3146cf5472a1a664a01711441ad2b66d456cc439cd867f11d79aee3aa4795|luci-videoplayer-codec-runtime-6.1.4-r5.apk
